# Gene: 5941 (PFD5)
# Alignment columns: 404
# Annotation key: 1/2/3=codon position, U=UTR/non-CDS, -=gap
col_index	codon_pos
0	1
1	2
2	3
3	1
4	2
5	3
6	1
7	2
8	3
9	1
10	2
11	3
12	1
13	2
14	3
15	1
16	2
17	3
18	1
19	2
20	3
21	1
22	2
23	3
24	1
25	2
26	3
27	1
28	2
29	3
30	1
31	2
32	3
33	1
34	2
35	3
36	1
37	2
38	3
39	1
40	2
41	3
42	1
43	2
44	3
45	1
46	2
47	3
48	1
49	2
50	3
51	1
52	2
53	3
54	1
55	2
56	3
57	1
58	2
59	3
60	1
61	2
62	3
63	1
64	2
65	3
66	1
67	2
68	3
69	1
70	2
71	3
72	1
73	2
74	3
75	1
76	2
77	3
78	1
79	2
80	3
81	1
82	2
83	3
84	1
85	2
86	3
87	1
88	2
89	3
90	1
91	2
92	3
93	1
94	2
95	3
96	1
97	2
98	3
99	1
100	2
101	3
102	1
103	2
104	3
105	1
106	2
107	3
108	1
109	2
110	3
111	1
112	2
113	3
114	1
115	2
116	3
117	1
118	2
119	3
120	1
121	2
122	3
123	1
124	2
125	3
126	1
127	2
128	3
129	1
130	2
131	3
132	1
133	2
134	3
135	1
136	2
137	3
138	1
139	2
140	3
141	1
142	2
143	3
144	1
145	2
146	3
147	1
148	2
149	3
150	1
151	2
152	3
153	1
154	2
155	3
156	1
157	2
158	3
159	1
160	2
161	3
162	1
163	2
164	3
165	1
166	2
167	3
168	1
169	2
170	3
171	1
172	2
173	3
174	1
175	2
176	3
177	1
178	2
179	3
180	1
181	2
182	3
183	1
184	2
185	3
186	1
187	2
188	3
189	1
190	2
191	3
192	1
193	2
194	3
195	1
196	2
197	3
198	1
199	2
200	3
201	1
202	2
203	3
204	1
205	2
206	3
207	1
208	2
209	3
210	1
211	2
212	3
213	1
214	2
215	3
216	1
217	2
218	3
219	1
220	2
221	3
222	1
223	2
224	3
225	1
226	2
227	3
228	1
229	2
230	3
231	1
232	2
233	3
234	1
235	2
236	3
237	1
238	2
239	3
240	1
241	2
242	3
243	1
244	2
245	3
246	1
247	2
248	3
249	1
250	2
251	3
252	1
253	2
254	3
255	1
256	2
257	3
258	-
259	-
260	1
261	2
262	3
263	1
264	2
265	3
266	1
267	2
268	3
269	1
270	2
271	3
272	1
273	2
274	3
275	1
276	2
277	3
278	1
279	2
280	3
281	1
282	2
283	3
284	1
285	2
286	3
287	1
288	2
289	3
290	1
291	2
292	3
293	1
294	2
295	3
296	1
297	2
298	3
299	1
300	2
301	3
302	1
303	2
304	3
305	1
306	2
307	3
308	1
309	2
310	3
311	1
312	2
313	3
314	1
315	2
316	3
317	1
318	2
319	3
320	1
321	2
322	3
323	1
324	2
325	3
326	1
327	2
328	3
329	1
330	2
331	3
332	1
333	2
334	3
335	1
336	2
337	3
338	1
339	2
340	3
341	1
342	2
343	3
344	1
345	2
346	3
347	1
348	2
349	3
350	1
351	2
352	3
353	1
354	2
355	3
356	1
357	2
358	3
359	1
360	2
361	3
362	1
363	2
364	3
365	1
366	2
367	3
368	1
369	2
370	3
371	1
372	2
373	3
374	1
375	2
376	3
377	1
378	2
379	3
380	1
381	2
382	3
383	1
384	2
385	3
386	1
387	2
388	3
389	1
390	2
391	3
392	1
393	2
394	3
395	1
396	2
397	3
398	1
399	2
400	3
401	1
402	2
403	3
