# Gene: 6797 (SWC2)
# Alignment columns: 1232
# Annotation key: 1/2/3=codon position, U=UTR/non-CDS, -=gap
col_index	codon_pos
0	1
1	2
2	3
3	1
4	2
5	3
6	1
7	2
8	3
9	1
10	2
11	3
12	1
13	2
14	3
15	1
16	2
17	3
18	1
19	2
20	3
21	1
22	2
23	3
24	1
25	2
26	3
27	1
28	2
29	3
30	1
31	2
32	3
33	1
34	2
35	3
36	1
37	2
38	3
39	1
40	2
41	3
42	1
43	2
44	3
45	1
46	2
47	3
48	1
49	2
50	3
51	1
52	2
53	3
54	1
55	2
56	3
57	1
58	2
59	3
60	1
61	2
62	3
63	1
64	2
65	3
66	1
67	2
68	3
69	1
70	2
71	3
72	1
73	2
74	3
75	1
76	2
77	3
78	1
79	2
80	3
81	1
82	2
83	3
84	1
85	2
86	3
87	1
88	2
89	3
90	1
91	2
92	3
93	1
94	2
95	3
96	1
97	2
98	3
99	1
100	2
101	3
102	1
103	2
104	3
105	1
106	2
107	3
108	1
109	2
110	3
111	1
112	2
113	3
114	-
115	-
116	-
117	1
118	2
119	3
120	1
121	2
122	3
123	1
124	2
125	3
126	1
127	2
128	3
129	1
130	2
131	3
132	-
133	-
134	-
135	-
136	-
137	-
138	-
139	-
140	-
141	-
142	-
143	-
144	1
145	2
146	3
147	-
148	-
149	-
150	-
151	-
152	-
153	-
154	-
155	-
156	1
157	2
158	3
159	1
160	2
161	3
162	1
163	2
164	3
165	1
166	2
167	3
168	1
169	2
170	3
171	1
172	2
173	3
174	1
175	2
176	3
177	1
178	2
179	3
180	1
181	2
182	3
183	1
184	2
185	3
186	1
187	2
188	3
189	1
190	2
191	3
192	1
193	2
194	3
195	1
196	2
197	3
198	1
199	2
200	3
201	1
202	2
203	3
204	1
205	2
206	3
207	1
208	2
209	3
210	1
211	2
212	3
213	1
214	2
215	3
216	-
217	-
218	-
219	1
220	2
221	3
222	-
223	-
224	-
225	1
226	2
227	3
228	1
229	2
230	3
231	-
232	-
233	-
234	1
235	2
236	3
237	-
238	-
239	-
240	1
241	2
242	3
243	1
244	2
245	3
246	-
247	-
248	-
249	1
250	2
251	3
252	-
253	-
254	-
255	1
256	2
257	3
258	1
259	2
260	3
261	1
262	2
263	3
264	1
265	2
266	3
267	-
268	-
269	-
270	-
271	-
272	-
273	1
274	2
275	3
276	1
277	2
278	3
279	-
280	-
281	-
282	1
283	2
284	3
285	1
286	2
287	3
288	-
289	-
290	-
291	-
292	-
293	-
294	-
295	-
296	-
297	-
298	-
299	-
300	-
301	-
302	-
303	-
304	-
305	-
306	-
307	-
308	-
309	-
310	-
311	-
312	-
313	-
314	-
315	-
316	-
317	-
318	-
319	-
320	-
321	-
322	-
323	-
324	-
325	-
326	-
327	-
328	-
329	-
330	-
331	-
332	-
333	-
334	-
335	-
336	1
337	2
338	3
339	1
340	2
341	3
342	1
343	2
344	3
345	1
346	2
347	3
348	1
349	2
350	3
351	1
352	2
353	3
354	-
355	-
356	-
357	-
358	-
359	-
360	1
361	2
362	3
363	1
364	2
365	3
366	1
367	2
368	3
369	-
370	-
371	-
372	-
373	-
374	-
375	1
376	2
377	3
378	-
379	-
380	-
381	-
382	-
383	-
384	-
385	-
386	-
387	1
388	2
389	3
390	-
391	-
392	-
393	-
394	-
395	-
396	-
397	-
398	-
399	-
400	-
401	-
402	-
403	-
404	-
405	-
406	-
407	-
408	-
409	-
410	-
411	1
412	2
413	3
414	-
415	-
416	-
417	-
418	-
419	-
420	1
421	-
422	2
423	3
424	-
425	-
426	-
427	-
428	-
429	-
430	-
431	-
432	-
433	-
434	-
435	-
436	-
437	-
438	-
439	-
440	-
441	-
442	-
443	-
444	-
445	-
446	-
447	-
448	-
449	-
450	-
451	-
452	-
453	-
454	-
455	-
456	-
457	1
458	2
459	3
460	-
461	-
462	-
463	-
464	-
465	-
466	-
467	-
468	-
469	-
470	-
471	-
472	1
473	2
474	3
475	-
476	-
477	-
478	1
479	2
480	3
481	-
482	-
483	-
484	-
485	-
486	-
487	-
488	-
489	-
490	1
491	2
492	3
493	1
494	2
495	3
496	1
497	2
498	3
499	-
500	-
501	-
502	-
503	-
504	-
505	-
506	-
507	-
508	-
509	-
510	-
511	-
512	-
513	-
514	1
515	2
516	3
517	1
518	2
519	3
520	1
521	2
522	3
523	1
524	2
525	3
526	1
527	2
528	3
529	1
530	2
531	3
532	1
533	2
534	3
535	-
536	-
537	-
538	-
539	-
540	-
541	-
542	-
543	-
544	-
545	-
546	-
547	-
548	-
549	-
550	-
551	-
552	-
553	-
554	-
555	-
556	-
557	-
558	-
559	-
560	-
561	-
562	1
563	2
564	3
565	-
566	-
567	-
568	-
569	-
570	-
571	1
572	2
573	3
574	-
575	-
576	-
577	-
578	-
579	-
580	-
581	-
582	-
583	-
584	-
585	-
586	-
587	-
588	-
589	1
590	2
591	3
592	-
593	-
594	-
595	-
596	-
597	-
598	-
599	-
600	-
601	1
602	2
603	3
604	-
605	-
606	-
607	-
608	-
609	-
610	-
611	-
612	-
613	1
614	2
615	3
616	-
617	-
618	-
619	1
620	2
621	3
622	1
623	2
624	3
625	-
626	-
627	-
628	-
629	-
630	-
631	1
632	2
633	3
634	1
635	2
636	3
637	-
638	-
639	-
640	-
641	-
642	-
643	1
644	2
645	3
646	1
647	2
648	3
649	-
650	-
651	-
652	-
653	-
654	-
655	-
656	-
657	-
658	-
659	-
660	1
661	2
662	3
663	1
664	2
665	3
666	-
667	-
668	-
669	-
670	-
671	-
672	-
673	-
674	-
675	-
676	-
677	-
678	1
679	2
680	3
681	-
682	-
683	-
684	-
685	-
686	-
687	-
688	-
689	-
690	-
691	-
692	1
693	2
694	3
695	1
696	2
697	3
698	1
699	2
700	3
701	1
702	2
703	3
704	1
705	2
706	3
707	1
708	2
709	3
710	-
711	-
712	-
713	1
714	2
715	3
716	1
717	2
718	3
719	-
720	-
721	-
722	-
723	-
724	-
725	1
726	2
727	3
728	1
729	2
730	3
731	-
732	-
733	-
734	1
735	2
736	3
737	1
738	2
739	3
740	-
741	-
742	-
743	1
744	2
745	3
746	1
747	2
748	3
749	1
750	2
751	3
752	-
753	-
754	-
755	1
756	2
757	3
758	1
759	2
760	3
761	1
762	2
763	3
764	1
765	2
766	3
767	1
768	2
769	3
770	1
771	2
772	3
773	1
774	2
775	3
776	1
777	2
778	3
779	1
780	2
781	3
782	1
783	2
784	3
785	1
786	2
787	3
788	1
789	2
790	3
791	1
792	2
793	3
794	1
795	2
796	3
797	1
798	2
799	3
800	1
801	2
802	3
803	-
804	-
805	-
806	-
807	-
808	-
809	-
810	-
811	-
812	1
813	2
814	3
815	1
816	2
817	3
818	1
819	2
820	3
821	1
822	2
823	3
824	1
825	2
826	3
827	1
828	2
829	3
830	1
831	2
832	3
833	1
834	2
835	3
836	1
837	2
838	3
839	1
840	2
841	3
842	1
843	2
844	3
845	1
846	2
847	3
848	1
849	2
850	3
851	1
852	2
853	3
854	1
855	2
856	3
857	1
858	2
859	3
860	-
861	-
862	-
863	1
864	2
865	3
866	-
867	-
868	-
869	1
870	2
871	3
872	1
873	2
874	3
875	1
876	2
877	3
878	1
879	2
880	3
881	1
882	2
883	3
884	1
885	2
886	3
887	1
888	2
889	3
890	1
891	2
892	3
893	1
894	2
895	3
896	1
897	2
898	3
899	1
900	2
901	3
902	1
903	2
904	3
905	1
906	2
907	3
908	1
909	2
910	3
911	1
912	2
913	3
914	1
915	2
916	3
917	1
918	2
919	3
920	1
921	2
922	3
923	1
924	2
925	3
926	1
927	2
928	3
929	1
930	2
931	3
932	1
933	2
934	3
935	1
936	2
937	3
938	1
939	2
940	3
941	1
942	2
943	3
944	1
945	2
946	3
