# Gene: 6488 (TAP38)
# Alignment columns: 1072
# Annotation key: 1/2/3=codon position, U=UTR/non-CDS, -=gap
col_index	codon_pos
0	1
1	2
2	3
3	1
4	2
5	3
6	1
7	2
8	3
9	1
10	2
11	3
12	1
13	2
14	3
15	1
16	2
17	3
18	1
19	2
20	3
21	1
22	2
23	3
24	1
25	2
26	3
27	1
28	2
29	3
30	1
31	2
32	3
33	1
34	2
35	3
36	1
37	2
38	3
39	1
40	2
41	3
42	1
43	2
44	3
45	1
46	2
47	3
48	1
49	2
50	3
51	1
52	2
53	3
54	1
55	2
56	3
57	-
58	-
59	-
60	1
61	2
62	3
63	1
64	2
65	3
66	1
67	2
68	3
69	-
70	-
71	-
72	-
73	-
74	-
75	-
76	-
77	-
78	1
79	2
80	3
81	-
82	-
83	-
84	-
85	-
86	-
87	1
88	2
89	3
90	-
91	-
92	-
93	-
94	-
95	-
96	1
97	2
98	3
99	-
100	-
101	-
102	-
103	-
104	-
105	1
106	2
107	3
108	-
109	-
110	-
111	-
112	-
113	-
114	1
115	2
116	3
117	1
118	2
119	3
120	-
121	-
122	1
123	2
124	3
125	1
126	2
127	3
128	1
129	2
130	3
131	1
132	2
133	3
134	1
135	2
136	3
137	1
138	2
139	3
140	1
141	2
142	3
143	1
144	2
145	3
146	1
147	2
148	3
149	1
150	2
151	3
152	1
153	2
154	3
155	1
156	2
157	3
158	1
159	2
160	3
161	1
162	2
163	3
164	1
165	2
166	3
167	1
168	2
169	3
170	1
171	2
172	3
173	1
174	2
175	3
176	1
177	2
178	3
179	1
180	2
181	3
182	-
183	-
184	-
185	-
186	-
187	-
188	-
189	-
190	-
191	-
192	-
193	-
194	1
195	2
196	3
197	1
198	2
199	3
200	1
201	2
202	3
203	1
204	2
205	3
206	1
207	2
208	3
209	1
210	2
211	3
212	1
213	2
214	3
215	1
216	2
217	3
218	1
219	2
220	3
221	1
222	2
223	3
224	1
225	2
226	3
227	1
228	2
229	3
230	1
231	2
232	3
233	1
234	2
235	3
236	1
237	2
238	3
239	1
240	2
241	3
242	1
243	2
244	3
245	1
246	2
247	3
248	1
249	2
250	3
251	-
252	-
253	1
254	2
255	3
256	1
257	2
258	3
259	1
260	2
261	3
262	1
263	2
264	3
265	1
266	2
267	3
268	1
269	2
270	3
271	1
272	2
273	3
274	1
275	2
276	3
277	1
278	2
279	3
280	1
281	2
282	3
283	1
284	2
285	3
286	1
287	2
288	3
289	1
290	2
291	3
292	1
293	2
294	3
295	1
296	2
297	3
298	1
299	2
300	3
301	1
302	2
303	3
304	1
305	2
306	3
307	1
308	2
309	3
310	1
311	2
312	3
313	1
314	2
315	3
316	1
317	2
318	3
319	1
320	2
321	3
322	1
323	2
324	3
325	1
326	2
327	3
328	1
329	2
330	3
331	1
332	2
333	3
334	1
335	2
336	3
337	1
338	2
339	3
340	-
341	-
342	-
343	1
344	2
345	3
346	1
347	2
348	3
349	1
350	2
351	3
352	-
353	-
354	-
355	1
356	2
357	3
358	1
359	2
360	3
361	1
362	2
363	3
364	1
365	2
366	3
367	1
368	2
369	3
370	1
371	2
372	3
373	1
374	2
375	3
376	1
377	2
378	3
379	1
380	2
381	3
382	1
383	2
384	3
385	1
386	2
387	3
388	1
389	2
390	3
391	1
392	2
393	3
394	1
395	2
396	3
397	1
398	2
399	3
400	1
401	2
402	3
403	1
404	2
405	3
406	1
407	2
408	3
409	1
410	2
411	3
412	1
413	2
414	3
415	1
416	2
417	3
418	1
419	2
420	3
421	1
422	2
423	3
424	1
425	2
426	3
427	1
428	2
429	3
430	1
431	2
432	3
433	1
434	2
435	3
436	1
437	2
438	3
439	-
440	-
441	-
442	1
443	2
444	3
445	1
446	2
447	3
448	1
449	2
450	3
451	1
452	2
453	3
454	1
455	2
456	3
457	1
458	2
459	3
460	1
461	2
462	3
463	1
464	2
465	3
466	1
467	2
468	3
469	1
470	2
471	3
472	1
473	2
474	3
475	1
476	2
477	3
478	1
479	2
480	3
481	1
482	2
483	3
484	1
485	2
486	3
487	1
488	2
489	3
490	1
491	2
492	3
493	1
494	2
495	3
496	1
497	2
498	3
499	1
500	2
501	3
502	1
503	2
504	3
505	1
506	2
507	3
508	1
509	2
510	3
511	1
512	2
513	3
514	1
515	2
516	3
517	1
518	2
519	3
520	1
521	2
522	3
523	1
524	2
525	3
526	1
527	2
528	3
529	1
530	2
531	3
532	1
533	2
534	3
535	1
536	2
537	3
538	1
539	2
540	3
541	1
542	2
543	3
544	1
545	2
546	-
547	-
548	-
549	-
550	-
551	-
552	-
553	-
554	-
555	-
556	-
557	-
558	-
559	-
560	-
561	-
562	-
563	-
564	3
565	1
566	2
567	3
568	1
569	2
570	3
571	1
572	2
573	3
574	1
575	-
576	-
577	-
578	2
579	3
580	-
581	-
582	-
583	-
584	-
585	-
586	1
587	2
588	3
589	1
590	2
591	3
592	1
593	2
594	3
595	1
596	2
597	3
598	1
599	2
600	3
601	1
602	2
603	3
604	1
605	2
606	3
607	1
608	2
609	3
610	1
611	2
612	3
613	1
614	2
615	3
616	1
617	2
618	3
619	1
620	2
621	3
622	1
623	2
624	3
625	1
626	2
627	3
628	1
629	2
630	3
631	1
632	2
633	3
634	1
635	2
636	3
637	1
638	2
639	3
640	1
641	2
642	3
643	1
644	2
645	3
646	1
647	2
648	3
649	1
650	2
651	3
652	1
653	2
654	3
655	1
656	2
657	3
658	1
659	2
660	3
661	1
662	2
663	3
664	1
665	2
666	3
667	1
668	2
669	3
670	1
671	2
672	3
673	1
674	2
675	3
676	1
677	2
678	3
679	1
680	2
681	3
682	1
683	2
684	3
685	1
686	2
687	3
688	1
689	2
690	3
691	1
692	2
693	3
694	1
695	2
696	3
697	1
698	2
699	3
700	1
701	2
702	3
703	1
704	2
705	3
706	1
707	2
708	3
709	1
710	2
711	3
712	1
713	2
714	3
715	1
716	2
717	3
718	1
719	2
720	3
721	1
722	2
723	3
724	1
725	2
726	3
727	1
728	2
729	3
730	1
731	2
732	3
733	1
734	2
735	3
736	1
737	2
738	3
739	1
740	2
741	3
742	1
743	2
744	3
745	1
746	2
747	3
748	1
749	2
750	3
751	1
752	2
753	3
754	1
755	2
756	3
757	1
758	2
759	3
760	1
761	2
762	3
763	1
764	2
765	3
766	1
767	2
768	3
769	1
770	2
771	3
772	1
773	2
774	3
775	1
776	2
777	3
778	1
779	2
780	3
781	1
782	2
783	3
784	1
785	2
786	3
787	1
788	2
789	3
790	1
791	2
792	3
793	1
794	2
795	3
796	1
797	2
798	3
799	1
800	2
801	3
802	1
803	2
804	3
805	1
806	2
807	3
808	1
809	2
810	3
811	1
812	2
813	3
814	1
815	2
816	3
817	1
818	2
819	3
820	1
821	2
822	3
823	1
824	2
825	3
826	1
827	2
828	3
829	1
830	2
831	3
832	1
833	2
834	3
835	1
836	2
837	3
838	1
839	2
840	3
841	1
842	2
843	3
844	1
845	2
846	3
847	1
848	2
849	3
850	1
851	2
852	3
853	1
854	2
855	3
856	1
857	2
858	3
859	1
860	2
861	3
862	1
863	2
864	3
865	1
866	2
867	3
868	1
869	2
870	3
871	1
872	2
873	3
874	1
875	2
876	3
877	1
878	2
879	3
880	1
881	2
882	3
883	1
884	2
885	3
886	1
887	2
888	3
889	1
890	2
891	3
892	1
893	2
894	3
895	1
896	2
897	3
898	1
899	2
900	3
901	1
902	2
903	3
904	1
905	2
906	3
907	1
908	2
909	3
910	1
911	2
912	3
913	1
914	2
915	3
916	1
917	2
918	3
919	1
920	2
921	3
922	-
923	-
924	-
925	1
926	2
927	3
928	1
929	2
930	3
931	1
932	2
933	3
934	1
935	2
936	3
937	1
938	2
939	3
940	1
941	2
942	3
943	1
944	2
945	3
946	1
