# Gene: 5821 (AT4G31790)
# Alignment columns: 814
# Annotation key: 1/2/3=codon position, U=UTR/non-CDS, -=gap
col_index	codon_pos
0	1
1	2
2	3
3	1
4	2
5	3
6	1
7	2
8	3
9	1
10	2
11	3
12	1
13	2
14	3
15	1
16	2
17	3
18	1
19	2
20	3
21	1
22	2
23	3
24	1
25	2
26	3
27	1
28	2
29	3
30	1
31	2
32	3
33	1
34	2
35	3
36	1
37	2
38	3
39	1
40	2
41	3
42	1
43	2
44	3
45	1
46	2
47	3
48	1
49	2
50	3
51	1
52	2
53	3
54	1
55	2
56	3
57	1
58	2
59	3
60	1
61	2
62	3
63	1
64	2
65	3
66	1
67	2
68	3
69	1
70	2
71	3
72	1
73	2
74	3
75	1
76	2
77	3
78	1
79	2
80	3
81	1
82	2
83	3
84	1
85	2
86	3
87	1
88	2
89	3
90	1
91	2
92	3
93	1
94	2
95	3
96	1
97	2
98	3
99	1
100	2
101	3
102	1
103	2
104	3
105	1
106	2
107	3
108	1
109	2
110	3
111	1
112	2
113	3
114	1
115	2
116	3
117	1
118	2
119	3
120	1
121	2
122	3
123	1
124	2
125	3
126	1
127	2
128	3
129	1
130	2
131	3
132	1
133	2
134	3
135	1
136	2
137	3
138	1
139	2
140	3
141	1
142	2
143	3
144	1
145	2
146	3
147	1
148	2
149	3
150	1
151	2
152	3
153	1
154	2
155	3
156	1
157	2
158	3
159	1
160	2
161	3
162	1
163	2
164	3
165	1
166	2
167	3
168	1
169	2
170	3
171	1
172	2
173	3
174	1
175	2
176	3
177	1
178	2
179	3
180	1
181	2
182	3
183	1
184	2
185	3
186	1
187	2
188	3
189	1
190	2
191	3
192	1
193	2
194	3
195	1
196	2
197	3
198	1
199	2
200	3
201	1
202	2
203	3
204	1
205	2
206	3
207	1
208	2
209	3
210	1
211	2
212	3
213	1
214	2
215	3
216	1
217	2
218	3
219	1
220	2
221	3
222	1
223	2
224	3
225	1
226	2
227	3
228	1
229	2
230	3
231	1
232	2
233	3
234	1
235	2
236	3
237	1
238	2
239	3
240	1
241	2
242	3
243	1
244	2
245	3
246	1
247	2
248	3
249	1
250	2
251	3
252	1
253	2
254	3
255	1
256	2
257	3
258	1
259	2
260	3
261	1
262	2
263	3
264	1
265	2
266	3
267	1
268	2
269	3
270	1
271	2
272	3
273	1
274	2
275	3
276	1
277	2
278	3
279	1
280	2
281	3
282	1
283	2
284	3
285	1
286	2
287	3
288	1
289	2
290	3
291	1
292	2
293	3
294	1
295	2
296	3
297	1
298	2
299	3
300	1
301	2
302	3
303	1
304	2
305	3
306	1
307	2
308	3
309	1
310	2
311	3
312	1
313	2
314	3
315	1
316	2
317	3
318	1
319	2
320	3
321	1
322	2
323	3
324	1
325	2
326	3
327	1
328	2
329	3
330	1
331	2
332	3
333	1
334	2
335	3
336	1
337	2
338	3
339	1
340	2
341	3
342	1
343	2
344	3
345	1
346	2
347	3
348	1
349	2
350	3
351	1
352	2
353	3
354	1
355	2
356	3
357	1
358	2
359	3
360	1
361	2
362	3
363	1
364	2
365	3
366	1
367	2
368	3
369	1
370	2
371	3
372	1
373	2
374	3
375	1
376	2
377	3
378	1
379	2
380	3
381	1
382	2
383	3
384	1
385	2
386	3
387	1
388	2
389	3
390	1
391	2
392	3
393	1
394	2
395	3
396	1
397	2
398	3
399	1
400	2
401	3
402	1
403	2
404	3
405	1
406	2
407	3
408	1
409	2
410	3
411	1
412	2
413	3
414	1
415	2
416	3
417	1
418	2
419	3
420	1
421	2
422	3
423	1
424	2
425	3
426	1
427	2
428	3
429	1
430	2
431	3
432	1
433	2
434	3
435	1
436	2
437	3
438	1
439	2
440	3
441	1
442	2
443	3
444	1
445	2
446	3
447	1
448	2
449	3
450	1
451	2
452	3
453	1
454	2
455	3
456	1
457	2
458	3
459	1
460	2
461	3
462	1
463	2
464	3
465	1
466	2
467	3
468	1
469	2
470	3
471	1
472	2
473	3
474	1
475	2
476	3
477	1
478	2
479	3
480	1
481	2
482	3
483	1
484	2
485	3
486	1
487	2
488	3
489	1
490	2
491	3
492	1
493	2
494	3
495	1
496	2
497	3
498	1
499	2
500	3
501	1
502	2
503	3
504	1
505	2
506	3
507	1
508	2
509	3
510	1
511	2
512	3
513	1
514	2
515	3
516	1
517	2
518	3
519	1
520	2
521	3
522	1
523	2
524	3
525	1
526	2
527	3
528	1
529	2
530	3
531	1
532	2
533	3
534	1
535	2
536	3
537	1
538	2
539	3
540	1
541	2
542	3
543	-
544	1
545	2
546	3
547	1
548	2
549	3
550	1
551	2
552	3
553	1
554	2
555	3
556	1
557	2
558	3
559	1
560	2
561	3
562	1
563	2
564	3
565	1
566	2
567	3
568	1
569	2
570	3
571	1
572	2
573	3
574	1
575	2
576	3
577	1
578	2
579	3
580	1
581	2
582	3
583	1
584	2
585	3
586	1
587	2
588	3
589	1
590	2
591	3
592	1
593	2
594	3
595	1
596	2
597	3
598	1
599	2
600	3
601	1
602	2
603	3
604	1
605	2
606	3
607	1
608	2
609	3
610	1
611	2
612	3
613	1
614	2
615	3
616	1
617	2
618	3
619	1
620	2
621	3
622	1
623	2
624	3
625	1
626	2
627	3
628	1
629	2
630	3
631	1
632	2
633	3
634	1
635	2
636	3
637	1
638	2
639	3
640	1
641	2
642	3
643	1
644	2
645	3
646	1
647	2
648	3
649	1
650	2
651	3
652	1
653	2
654	3
655	1
656	2
657	3
658	1
659	2
660	3
661	1
662	2
663	3
664	1
665	2
666	3
667	1
668	2
669	3
670	1
671	2
672	3
673	1
674	2
675	3
676	1
677	2
678	3
679	1
680	2
681	3
682	1
683	2
684	3
685	1
686	2
687	3
688	1
689	2
690	3
691	1
692	2
693	3
694	1
695	2
696	3
697	1
698	2
699	3
700	1
701	2
702	3
703	1
704	2
705	3
706	1
707	2
708	3
709	1
710	2
711	3
712	1
713	2
714	3
715	1
716	2
717	3
718	1
719	2
720	3
721	1
722	2
723	3
724	1
725	2
726	3
727	1
728	2
729	3
730	1
731	2
732	3
733	1
734	2
735	3
736	1
737	2
738	3
739	1
740	2
741	3
742	1
743	2
744	3
745	1
746	2
747	3
748	1
749	2
750	3
751	1
752	2
753	3
754	1
755	2
756	3
757	1
758	2
759	3
760	1
761	2
762	3
763	1
764	2
765	3
766	1
767	2
768	3
769	1
770	2
771	3
772	1
773	2
774	3
775	1
776	2
777	3
778	1
779	2
780	3
781	1
782	2
783	3
784	1
785	2
786	3
787	1
788	2
789	3
790	1
791	2
792	3
793	1
794	2
795	3
796	1
797	2
798	3
799	1
800	2
801	3
802	1
803	2
804	3
805	1
806	2
807	3
808	1
809	2
810	3
811	1
812	2
813	3
